pfamA_acc;pfamA_id;clan_id;clan_acc;comment;selected
PF19722;SENP3_5_N;Zn_chelatase;CL0687;Sentrin/SUMO-specific proteases (SENPs) reversibly regulate the covalent modification of proteins by SUMO. SENP3 and 5 share considerable sequence homology and exhibit similar substrate specificity, as they are active against SUMO-2 and SUMO-3 but less so for SUMO-1. They are more closely related than to SENP1/2. This entry covers the N-terminal domain of SENP5, which contains a conserved region directly preceding the catalytic domain, which is shared with SENP3. This domain is responsible for the subcellular localisation [1]. SENP3 and 5 colocalise in the nucleolus and their depletion causes defects in ribosome biogenesis [2].;True
PF11912;CfaA_B_C;Zn_chelatase;CL0687;Developing Dictyostelium (Slime mold) cells form large aggregation streams that break up into groups of cells. Each group then becomes a fruiting body. Cells sense if there are too many cells in a stream by sensing the concentration of counting factor (CF), a protein complex secreted by the aggregating cells [1]. This entry includes counting factor-associated protein A/B/C from Slime mold.;True
PF15385;SARG;Zn_chelatase;CL0687;This family of proteins is found in eukaryotes, the function of this protein is still unknown but it is thought to be an androgen receptor. Protein expression is up-regulated in the presence of androgens, but not in the presence of glucocorticoids. SARG tends to be highly expressed in prostate tissue [1]. Proteins in this family are typically between 340 and 587 amino acids in length. There is a conserved EETI sequence motif.;True
PF01744;GLTT;Zn_chelatase;CL0687;This short repeat of unknown function is found in multiple copies in several C. elegans proteins. The repeat is five residues long and consists of XGLTT where X can be any amino acid.;True
PF05792;Candida_ALS;Zn_chelatase;CL0687;This family consists of several agglutinin-like proteins from different Candida species. ALS genes of Candida albicans encode a family of cell-surface glycoproteins with a three-domain structure. Each Als protein has a relatively conserved N-terminal domain, a central domain consisting of a tandemly repeated motif of variable number, and a serine-threonine-rich C-terminal domain that is relatively variable across the family. The ALS family exhibits several types of variability that indicate the importance of considering strain and allelic differences when studying ALS genes and their encoded proteins [1]. Fungal adhesins, which include sexual agglutinins, virulence factors, and flocculins, are surface proteins that mediate cell-cell and cell-environment interactions. It is possible that both the serine/threonine-rich domain and the cysteine residues in the C-terminal and DIPSY Pfam:PF11763 participate in anchoring the terminal domains inside the wall, so that only the inner part of Map4p, including the repeat region, is sticking out as a fold-back loop then able to act in adhesing [3].;True
PF06459;RR_TM4-6;Zn_chelatase;CL0687;This region covers TM regions 4-6 of the ryanodine receptor 1 family.;True
PF05017;TMP;Zn_chelatase;CL0687;This short repeat consists of the motif WXXh where X can be any residue and h is a hydrophobic residue. The repeat is name TMP after its occurrence in the tape measure protein (TMP). Tape measure protein is a component of phage tail and probably forms a beta-helix. Truncated forms of TMP lead to shortened tail fibres [1]. This repeat is also found in non-phage proteins where it may play a structural role.;True
PF12901;SUZ-C;Zn_chelatase;CL0687;The SUZ-C domain is a conserved motif found in one or more copies in several RNA-binding proteins. It is always found at the C-terminus of the protein and appear to be required for localization of the protein to specific subcellular structures. It was first characterized in the C.elegans protein Szy-20 which localizes to the centrosome. It is widely distributed in eukaryotes.;True
PF09327;DUF1983;Zn_chelatase;CL0687;Members of this family of functionally uncharacterised domains are found in various bacteriophage host specificity proteins.;True
PF15164;WBS28;Zn_chelatase;CL0687;WBS28 is an integral membrane family. These proteins have been identified as being linked to Williams-Beuren syndrome, OMIM:194050. This family of proteins is found in eukaryotes, and are typically 266 amino acids in length.;True
PF03402;V1R;Zn_chelatase;CL0687;This family represents one of two known vomeronasal organ receptor families, the V1R family (after [4]).;True
PF09900;DUF2127;Zn_chelatase;CL0687;This domain, found in various hypothetical prokaryotic and archaeal proteins, has no known function.;True
PF08601;PAP1;Zn_chelatase;CL0687;The transcription factor Pap1 regulates antioxidant-gene transcription in response to H2O2 [1]. This region is cysteine rich. Alkylation of cysteine residues following treatment with a cysteine alkylating agent can mask the accessibility of the nuclear exporter Crm1, triggering nuclear accumulation and Pap1 dependent transcriptional expression [2].;True
PF15427;S100PBPR;Zn_chelatase;CL0687;S100PBPR is a family of proteins found in eukaryotes, and localised to cell nuclei where S100P is also present, and the two proteins co-immunoprecipitate. S100P is a member of the S100 family of calcium-binding proteins and there have been several recent reports of its over-expression in pancreatic ductal adenocarcinoma. In situ hybridisation shows S100PBPR transcripts to be found in islet cells but not duct cells of the healthy pancreas. An interaction between S100P and S100PBPR may be involved in early pancreatic cancer.;True
PF16051;DUF4797;Zn_chelatase;CL0687;This presumed domain is functionally uncharacterised. This domain family is found in eukaryotes, and is approximately 40 amino acids in length. There is a conserved SGLPT sequence motif. There are two completely conserved residues (P and G) that may be functionally important.;True
PF20435;ASY3-like;Zn_chelatase;CL0687;This entry represents a group of plant meiosis-specific proteins, such as AtASY3 from Arabidopsis and PAIR3 from rice. They are coiled-coil domain proteins required for normal meiosis [1]. PAIR3 is an axial element and part of the synaptonemal complex (SC) that forms between homologous chromosomes during meiosis [2]. Members of this family are homologues of SCYP2 from vertebrates and fungal Red1/Rec10 [3].;True
PF15888;FOG_N;Zn_chelatase;CL0687;This is the N-terminal domain of the folded gastrulation protein. Folded gastrulation is required for morphogenic movements during gastrulation and nervous system development. It may act as a secreted signal and activate the G protein alpha subunit. This domain may be the G protein-coupled receptor ligand [1-2].;True
PF14973;TINF2_N;Zn_chelatase;CL0687;This is the N-terminus of TERF1-interacting nuclear factor 2. It is required for the formation of the shelterin complex. The shelterin complex is involved in the protection and maintenance of telomeres [1-3].;True
PF10601;zf-LITAF-like;Zn_chelatase;CL0687;Members of this family display a conserved zinc ribbon structure [1] with the motif C-XX-C- separated from the more C-terminal HX-C(P)X-C-X4-G-R motif by a variable region of usually 25-30 (hydrophobic) residues. Although it belongs to one of the zinc finger's fold groups (zinc ribbon), this particular domain was first identified in LPS-induced tumour necrosis alpha factor (LITAF) which is produced in mammalian cells after being challenged with lipopolysaccharide (LPS)[2]. The hydrophobic region probably inserts into the membrane rather than traversing it. Such an insertion brings together the N- and C-terminal C-XX-C motifs to form a compact Zn2+-binding structure [3].;True
PF02095;Extensin_1;Zn_chelatase;CL0687;NULL;True
PF12552;DUF3741;Zn_chelatase;CL0687;This domain family is found in eukaryotes, and is approximately 50 amino acids in length.;True
PF14835;zf-RING_6;Zn_chelatase;CL0687;The RING domain of the breast and ovarian cancer tumour-suppressor BRCA1 interacts with multiple cognate proteins, including the RING protein BARD1. Proper function of the BRCA1 RING domain is critical, as evidenced by the many cancer-predisposing mutations found within this domain. A dimer is formed between the RING domains of BRCA1 and BARD1. The BRCA1-BARD1 structure provides a model for its ubiquitin ligase activity, illustrates how the BRCA1 RING domain can be involved in associations with multiple protein partners and provides a framework for understanding cancer-causing mutations at the molecular level [1]. The corresponding BRCA1-RING domain is on family zf-C3HC4_2, Pfam:PF13923.;True
PF07145;PAM2;Zn_chelatase;CL0687;The PABP-interacting motif PAM2 has been identified in various eukaryotic proteins as an important binding site for Pfam:PF00658. It has been found in a wide range of eukaryotic proteins [1]. Strikingly, this motif appears to occur solely outside of globular domains [1].;True
PF15324;TALPID3;Zn_chelatase;CL0687;TALPID3 is a family of eukaryotic proteins that are targets for Hedgehog signalling. Mutations in this gene noticed first in chickens lead to multiple abnormalities of development.;True
PF15276;PP1_bind;Zn_chelatase;CL0687;This domain contains a protein phosphatase 1 (PP1) binding site [1].;True
pfamA_acc;pfamA_id;clan_id;clan_acc;comment;True
PF03523;Macscav_rec;Zn_chelatase;CL0687;NULL;True
PF13066;DUF3929;Zn_chelatase;CL0687;This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria. Proteins in this family are approximately 70 amino acids in length.;True
PF16079;Phage_holin_5_2;Zn_chelatase;CL0687;Phage_holin_V_2 is a family of small hydrophobic proteins with three transmembrane domains of the Hol44 family. These proteins are produced by double-stranded DNA bacteriophages that use an endolysin-holin strategy to achieve lysis of their hosts. The endolysins are peptidoglycan-degrading enzymes that are usually accumulated in the cytosol until access to the cell wall substrate is provided by the holin membrane lesion. Full activity of the endolysin Lys44 from oenophage fOg44 requires sudden ion-nonspecific dissipation of the proton motive force, undertaken by the fOg44 holin during phage-infection [1,2,3].;True
PF07843;DUF1634;Zn_chelatase;CL0687;This family contains many hypothetical bacterial and archaeal proteins. A few members of this family are annotated as being putative transmembrane proteins, and the region in question in fact contains many hydrophobic residues.;True
pfamA_acc;pfamA_id;clan_id;clan_acc;comment;True
PF09534;Trp_oprn_chp;Zn_chelatase;CL0687;Members of this family are predicted transmembrane proteins with four membrane-spanning helices. Members are found in the Actinobacteria (Mycobacterium, Corynebacterium, Streptomyces), always associated with genes for tryptophan biosynthesis.;True
PF03729;DUF308;Zn_chelatase;CL0687;Family of short repeats that occurs in a limited number of membrane proteins. It may divide further in short repeats of around 7-10 residues of the pattern G-#-X(2)-#(2)-X (#=hydrophobic).
PF20493;WD-like_fungi;Zn_chelatase;CL0687;This is an uncharacterised family of proteins found in Fungi, present in S. japonicus but seems to be absent in S. pombe and S. cerevisiae. It may be a divergent WD repeat-like family of proteins. There are eight conserved cysteine residues.
PF02363;C_tripleX;Zn_chelatase;CL0687;This Cysteine repeat C-X3-C-X3-C is repeated in sequences of this family, 34 times in Swiss:O17970. The function of these repeats is unknown as is the function of the proteins in which they occur. Most of the sequences in this family are from C. elegans.
PF11222;DUF3017;Zn_chelatase;CL0687;This bacterial family of proteins with unknown function appear to be restricted to Actinobacteria.
PF17106;NACHT_sigma;Zn_chelatase;CL0687;NACHT_sigma is a short conserved region found on NACHT-NTPases. The function of this domain is not known.
PF10233;Cg6151-P;Zn_chelatase;CL0687;This is a family of small, less than 200 residue long, proteins which are named as CG6151-P proteins that are conserved from fungi to humans. The function is unknown. The fungal members have a characteristic ICP sequence motif. Some members are annotated as putative clathrin-coated vesicle protein but this could not be defined.
PF17823;DUF5585;Zn_chelatase;CL0687;This is a family of unknown function found in chordata.
PF00634;BRCA2;Zn_chelatase;CL0687;The alignment covers only the most conserved region of the repeat.
PF14733;ACDC;Zn_chelatase;CL0687;This family is found at the C-terminus of apicomplexan proteins containing the AP2 domain (Pfam:PF00847).
PF04247;SirB;Zn_chelatase;CL0687;SirB up-regulates Salmonella typhimurium invasion gene transcription. It is, however, not essential for the expression of these genes. Its function is unknown [1].
PF03216;Rhabdo_ncap_2;Zn_chelatase;CL0687;NULL
PF10315;Aim19;Zn_chelatase;CL0687;This is a family of conserved proteins found in fungi. The function is not known.
PF04527;Retinin_C;Zn_chelatase;CL0687;Family of Drosophila proteins related to the C-terminal region of the Drosophila Retinin protein. Conserved region is found towards the C-terminus of the member proteins.
PF01241;PSI_PSAK;Zn_chelatase;CL0687;NULL
PF17061;PARM;Zn_chelatase;CL0687;Human PARM-1 is a mucin-like, androgen-regulated transmembrane protein that is present in most tissues, with high levels in the heart, kidney and placenta [1]. It has been shown to be induced and expressed in prostate after castration [2] and may have a role in cell proliferation and immortalisation in prostate cancer [3,1].
PF15273;NHS;Zn_chelatase;CL0687;This family of proteins includes Nance-Horan syndrome protein (NHS) [1].
PF19157;DUF5839;Zn_chelatase;CL0687;This family of unknown function is associated with the biosynthetic gene cluster for glycocin F. The family appears to be restricted to Firmicutes.
PF10756;bPH_6;Zn_chelatase;CL0687;This domain has a bacterial type PH domain structure. This domain was previously known as DUF2581. This family is conserved in the Actinomycetales. Although several members are annotated as RbiX homologues, RbiX being a putative regulator of riboflavin biosynthesis, the function could not be confirmed.
PF19616;DUF6121;Zn_chelatase;CL0687;This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria. Proteins in this family are typically between 133 and 164 amino acids in length.
PF11345;DUF3147;Zn_chelatase;CL0687;Some members in this family of proteins are annotated as membrane proteins however this cannot be confirmed. Currently no function is known.
PF12823;DUF3817;Zn_chelatase;CL0687;This domain is of unknown function. It is sometimes found adjacent to Pfam:PF07690 and Pfam:PF03176 which are both transporter domains.
PF19341;B3GALT2_N;Zn_chelatase;CL0687;This family represents the N-terminal region of the beta-1,3- galactosyltransferase 2 which contains a short cytosolic region, a transmembrane region which indicates that this protein has a type II transmembrane topology, typical for all mammalian glycosyltransferases and a stem region with two putative N-glycosylation sites. This enzyme catalyses the synthesis of type 1 carbohydrate chains, which contain the Gal(beta 1-3) GlcNAc linkage [1].
PF07599;DUF1563;Zn_chelatase;CL0687;A small family of short hypothetical proteins in Leptospira interrogans.
PF05269;Phage_CII;Zn_chelatase;CL0687;This family consists of several phage CII regulatory proteins. CII plays a key role in the lysis-lysogeny decision in bacteriophage lambda and related phages [1].
